num	weight
535	conspiracy
536	conspiracy
537	extreme right
538	high
539	high
540	high
541	very high
542	propaganda
543	extreme right
544	mixed
545	extreme right
546	left-center
547	high
548	conspiracy
549	extreme right
550	left-center
551	extreme right
552	extreme right
553	very high
554	fake news
555	high
556	center
557	conspiracy
558	low
559	center
560	fake news
561	extreme right
562	conspiracy
563	high
564	very high
565	conspiracy
566	very high
567	pro-science
568	high
569	right-center
570	extreme left
571	conspiracy
572	high
573	conspiracy
574	mixed
575	left-center
576	conspiracy
577	high
578	left-center
579	conspiracy
580	high
581	propaganda
582	high
583	high
584	conspiracy
585	propaganda
586	extreme right
587	left-center
588	fake news
589	extreme right
590	center
591	conspiracy
592	fake news
593	mixed
594	left-center
595	conspiracy
596	high
597	mixed
598	right-center
599	very high
600	very high
601	mixed
602	left-center
603	extreme left
604	center
605	high
606	left-center
607	high
608	high
609	high
610	high
611	left-center
612	very high
613	extreme right
614	right-center
615	extreme right
616	fake news
617	conspiracy
618	high
619	extreme left
620	low
621	fake news
622	fake news
623	fake news
624	mixed
625	very high
626	mixed
627	propaganda
628	mixed
629	conspiracy
630	mixed
631	high
632	high
633	satire
634	high
635	conspiracy
636	extreme left
637	high
638	mixed
639	high
640	very high
641	center
642	low
643	center
644	extreme left
645	hate
646	pro-science
647	right
648	high
649	high
650	fake news
651	hate
652	fake news
653	extreme right
654	center
655	fake news
656	hate
657	center
658	fake news
659	fake news
660	extreme left
661	left-center
662	left-center
663	conspiracy
664	conspiracy
665	mixed
666	high
667	high
668	center
669	center
670	propaganda
671	right-center
672	high
673	left
674	left-center
675	mixed
676	extreme left
677	extreme left
678	extreme left
679	fake news
680	very high
681	extreme left
682	very high
683	very high
684	left-center
685	high
686	left
687	very high
688	left-center
689	hate
690	very high
691	mixed
692	center
693	left-center
694	fake news
695	conspiracy
696	conspiracy
697	extreme left
698	hate
699	high
700	fake news
701	satire
702	propaganda
703	center
704	pro-science
705	satire
706	center
707	right
708	extreme right
709	low
710	left-center
711	fake news
712	extreme left
713	right-center
714	extreme right
715	high
716	high
717	high
718	fake news
719	mixed
720	propaganda
721	low
722	extreme left
723	very high
724	center
725	fake news
726	center
727	high
728	satire
729	very high
730	propaganda
731	low
732	very high
733	hate
734	high
735	mixed
736	very high
737	fake news
738	propaganda
739	satire
740	very high
741	conspiracy
742	extreme left
743	left-center
744	conspiracy
745	right-center
746	fake news
747	fake news
748	right
749	conspiracy
750	very high
751	mixed
752	pro-science
753	conspiracy
754	high
755	high
756	left
757	high
758	pro-science
759	center
760	high
761	left-center
762	high
763	low
764	very high
765	high
766	high
767	extreme right
768	very high
769	mixed
770	extreme left
771	satire
772	high
773	extreme right
774	high
775	very high
776	center
777	mixed
778	high
779	satire
780	extreme right
781	high
782	very high
783	conspiracy
784	extreme right
785	fake news
786	conspiracy
787	center
788	conspiracy
789	mixed
790	extreme right
791	fake news
792	high
793	conspiracy
794	hate
795	high
796	satire
797	fake news
798	low
799	low
800	high
801	satire
802	mixed
803	high
804	fake news
805	fake news
806	extreme right
807	left-center
808	conspiracy
809	fake news
810	high
811	mixed
812	extreme right
813	extreme left
814	center
815	extreme left
816	high
817	high
818	mixed
819	extreme left
820	center
821	center
822	conspiracy
823	extreme right
824	high
825	center
826	extreme left
827	extreme right
828	left-center
829	fake news
830	mixed
831	propaganda
832	extreme right
833	conspiracy
834	extreme left
835	center
836	right
837	hate
838	high
839	center
840	conspiracy
841	high
842	high
843	very high
844	fake news
845	high
846	mixed
847	fake news
848	mixed
849	fake news
850	high
851	conspiracy
852	high
853	extreme right
854	hate
855	low
856	extreme right
857	pro-science
858	fake news
859	extreme left
860	extreme left
861	right-center
862	mixed
863	right-center
864	satire
865	mixed
866	high
867	propaganda
868	extreme left
869	pro-science
870	extreme right
871	conspiracy
872	high
873	center
874	high
875	extreme right
876	extreme right
877	left-center
878	conspiracy
879	fake news
880	right-center
881	extreme left
882	high
883	high
884	high
885	left-center
886	high
887	very high
888	fake news
889	high
890	satire
891	very high
892	hate
893	center
894	center
895	right-center
896	extreme right
897	right-center
898	satire
899	fake news
900	high
901	fake news
902	fake news
903	high
904	high
905	right-center
906	mixed
907	high
908	high
909	extreme right
910	extreme left
911	center
912	hate
913	fake news
914	high
915	center
916	very high
917	fake news
918	left
919	left-center
920	high
921	high
922	right
923	conspiracy
924	conspiracy
925	high
926	high
927	left-center
928	mixed
929	propaganda
930	conspiracy
931	mixed
932	mixed
933	mixed
934	fake news
935	satire
936	high
937	extreme right
938	center
939	conspiracy
940	fake news
941	high
942	pro-science
943	left-center
944	mixed
945	fake news
946	mixed
947	very high
948	center
949	extreme left
950	extreme left
951	very high
952	center
953	high
954	mixed
955	extreme left
956	center
957	mixed
958	extreme left
959	mixed
960	satire
961	satire
962	high
963	very high
964	mixed
965	left-center
966	high
967	left-center
968	pro-science
969	mixed
970	satire
971	center
972	mixed
973	center
974	conspiracy
975	conspiracy
976	low
977	extreme left
978	satire
979	fake news
980	low
981	satire
982	conspiracy
983	extreme right
984	extreme left
985	high
986	propaganda
987	fake news
988	center
989	conspiracy
990	mixed
991	extreme right
992	left-center
993	high
994	high
995	satire
996	extreme left
997	extreme right
998	extreme left
999	extreme right
1000	left-center
1001	pro-science
1002	high
1003	mixed
1004	high
1005	left-center
1006	mixed
1007	high
1008	fake news
1009	center
1010	conspiracy
1011	extreme right
1012	high
1013	center
1014	very high
1015	extreme right
1016	satire
1017	high
1018	left-center
1019	center
1020	conspiracy
1021	extreme right
1022	conspiracy
1023	fake news
